"Timestamp","University","Year of the university","How do you attend to lectures?","Do you have your own/dedicated device for studies?","How do you describe the quality of the device used for studies","What type of primary internet connection do you have?","Do you have a secondary/backup internet connection?","How do you describe the quality of your internet connection","How do you use your internet connection","How do you describe the learning environment at home","How much you get disturbed at home when you study","Do you have dedicated place to attend university studies?","What is the best method for you to attend lectures or other learning session?","Do you find it difficult to use the provided learning platform (eg: Moodle) by the university?","What is the best method for you to learn theoretical knowledge?","What is the best method for you to learn practical knowledge?","What is the best method for you to participate in exam?","How do you describe the amount of engagement with the academic staff while using e-learning","How do you describe the amount of engagement with other undergraduates while using e-learning","What do you prefer if students are allowed to engage in undergraduate studies using both means e-learning and traditional method","How much do you think the e-learning should be improved further with regarding university facilities provided towards it","Are you satisfied with the current device that you use for e-learning?","Are you satisfied with the current internet connection that you have for e-learning?","Are you satisfied with the current learning environment at your home?","Are you satisfied with the overall e-learning experience?"
"2021/10/23 1:04:01 PM GMT+5:30","Sabaragamuwa University","1","Laptop computer","No","3","Mobile data","No","2","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","1","1","No","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","3","2","Both are equally preferred","4","2","2","2","2"
"2021/10/23 1:26:36 PM GMT+5:30","Sabaragamuwa University","1","Laptop computer;Smart phone","Yes","4","ADSL","No","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","4","1","No","Physically attending","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","4","Both are equally preferred","3","4","4","5","4"
"2021/10/23 1:30:11 PM GMT+5:30","University of Peradeniya","1","Tablet","Yes","5","Fibre Optics","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","2","Yes","Physically attending","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","3","Both are equally preferred","5","5","5","5","3"
"2021/10/23 1:37:40 PM GMT+5:30","Other","1","Desktop computer","Yes","3","ADSL","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials;Listen to songs and watch some entertaining videos","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","3","4","Both are equally preferred","3","2","4","5","3"
"2021/10/23 1:46:22 PM GMT+5:30","University of Peradeniya","1","Laptop computer;Smart phone","Yes","4","ADSL","Yes","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Online exams","4","3","Traditional method","4","5","2","3","1"
"2021/10/23 1:50:58 PM GMT+5:30","University of Ruhuna","2","Laptop computer","Yes","3","Mobile data","Yes","3","Attend lectures (Zoom etc)","4","4","Yes","Online lectures","No","No difference","No difference","Physically attending exam","3","2","Traditional method","3","2","4","4","4"
"2021/10/23 1:56:27 PM GMT+5:30","Other","2","Laptop computer","Yes","5","Fibre Optics","No","2","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","1","5","No","Physically attending","No","No difference","Physically attending practical sessions","Physically attending exam","1","1","Traditional method","2","1","2","2","3"
"2021/10/23 2:31:53 PM GMT+5:30","University of Colombo","1","Laptop computer","Yes","5","ADSL","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","3","Both are equally preferred","5","5","4","5","4"
"2021/10/23 2:38:42 PM GMT+5:30","University of Sri Jayewardenepura","1","Laptop computer","Yes","3","ADSL","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","1","Yes","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","4","4","Both are equally preferred","3","4","4","5","3"
"2021/10/23 2:59:10 PM GMT+5:30","University of Ruhuna","1","Laptop computer","Yes","4","Mobile data","No","4","Attend lectures (Zoom etc)","5","4","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","4","5","Traditional method","4","4","4","3","4"
"2021/10/23 3:01:22 PM GMT+5:30","Sri Lanka Institute of Information Technology (SLIIT)","2","Laptop computer;Desktop computer","Yes","3","ADSL","Yes","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","3","3","E-learning","3","3","3","3","3"
"2021/10/23 3:37:40 PM GMT+5:30","University of Ruhuna","4","Laptop computer","Yes","3","Mobile data","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","4","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","No difference","4","3","Traditional method","4","2","2","2","2"
"2021/10/23 3:46:25 PM GMT+5:30","Sabaragamuwa University","1","Laptop computer","Yes","3","4g","No","3","Attend lectures (Zoom etc)","3","3","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Online exams","3","3","Traditional method","3","3","3","3","3"
"2021/10/23 4:22:18 PM GMT+5:30","Rajarata University","1","Smart phone","Yes","4","Mobile data","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","4","No","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","3","3","E-learning","3","4","3","4","3"
"2021/10/23 4:52:33 PM GMT+5:30","General Sir John Kotelawala Defence University (KDU)","1","Laptop computer","Yes","4","Mobile data","Yes","4","Attend lectures (Zoom etc)","4","5","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","3","3","Both are equally preferred","3","4","4","1","5"
"2021/10/23 5:20:42 PM GMT+5:30","Wayamba University","1","Laptop computer","Yes","5","Fibre Optics","No","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","2","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","No difference","3","3","Both are equally preferred","5","5","4","5","4"
"2021/10/23 5:35:57 PM GMT+5:30","General Sir John Kotelawala Defence University (KDU)","2","Laptop computer;Smart phone;Tablet","Yes","3","ADSL","Yes","3","Attend lectures (Zoom etc)","3","3","Yes","Online lectures","Yes","E-learning (Online lectures and and online learning platform)","E-learning (Online practical sessions and and online learning platform)","Online exams","3","3","E-learning","3","3","3","3","3"
"2021/10/24 1:23:51 AM GMT+5:30","University of Peradeniya","4","Laptop computer","Yes","5","Fibre Optics","No","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","2","Yes","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","5","4","E-learning","4","5","5","4","3"
"2021/10/24 1:31:21 AM GMT+5:30","Rajarata University","3","Laptop computer","Yes","4","ADSL","No","3","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Physically attending","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","4","Both are equally preferred","4","4","3","3","2"
"2021/10/24 1:34:52 AM GMT+5:30","Sabaragamuwa University","5","Desktop computer","Yes","3","ADSL","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","5","4","Both are equally preferred","5","4","3","5","2"
"2021/10/24 1:37:53 AM GMT+5:30","General Sir John Kotelawala Defence University (KDU)","3","Laptop computer","Yes","5","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","4","3","Yes","Physically attending","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","5","Traditional method","5","5","5","4","3"
"2021/11/14 5:39:41 PM GMT+5:30","Rajarata University","3","Smart phone","Yes","4","Mobile data","No","3","Attend lectures (Zoom etc);Searching/Browsing","4","3","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","2","2","Traditional method","4","3","3","4","3"
"2021/11/14 5:43:02 PM GMT+5:30","University of Sri Jayewardenepura","4","Laptop computer","No","4","ADSL","No","4","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","4","2","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","3","4","E-learning","3","4","3","4","4"
"2021/11/14 5:45:15 PM GMT+5:30","University of Moratuwa","2","Laptop computer;Tablet","Yes","5","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","4","Yes","No difference","No","E-learning (Online lectures and and online learning platform)","E-learning (Online practical sessions and and online learning platform)","Online exams","4","3","E-learning","3","5","5","5","5"
"2021/11/14 5:47:51 PM GMT+5:30","University of Peradeniya","2","Laptop computer;Smart phone","Yes","3","ADSL","No","2","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing","3","5","No","Physically attending","Yes","No difference","Physically attending practical sessions","Physically attending exam","2","2","Traditional method","4","3","1","2","3"
"2021/11/14 6:40:28 PM GMT+5:30","University of Peradeniya","1","Laptop computer","Yes","3","ADSL","Yes","2","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","4","2","No","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","3","2","E-learning","3","3","3","4","4"
"2021/11/14 6:40:52 PM GMT+5:30","University of Ruhuna","1","Laptop computer","Yes","3","Mobile data","No","1","Attend lectures (Zoom etc)","3","3","No","No difference","My university/course does not use a learning platform","No difference","Physically attending practical sessions","Physically attending exam","3","4","Both are equally preferred","3","3","1","3","3"
"2021/11/14 6:47:49 PM GMT+5:30","Sri Lanka Institute of Information Technology (SLIIT)","3","Laptop computer;Tablet","Yes","4","Fibre Optics","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","No difference","Online exams","4","4","E-learning","2","5","4","5","4"
"2021/11/14 6:51:13 PM GMT+5:30","University of Kelaniya","4","Desktop computer","No","2","Dongle","No","1","Attend lectures (Zoom etc);Searching/Browsing","2","5","No","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","2","2","Traditional method","5","2","1","2","2"
"2021/11/14 6:55:28 PM GMT+5:30","University of Ruhuna","2","Desktop computer","No","3","Mobile data","No","2","Attend lectures (Zoom etc);Watch learning material/tutorials","4","3","No","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","3","2","Traditional method","4","3","2","3","3"
"2021/11/14 6:56:17 PM GMT+5:30","General Sir John Kotelawala Defence University (KDU)","3","Desktop computer","Yes","4","ADSL","Yes","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","4","3","Yes","Physically attending","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","5","5","E-learning","5","4","4","4","3"
"2021/11/14 6:57:47 PM GMT+5:30","University of Moratuwa","4","Laptop computer","Yes","5","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","2","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","E-learning (Online practical sessions and and online learning platform)","Online exams","4","3","E-learning","3","4","4","5","5"
"2021/11/14 6:59:29 PM GMT+5:30","University of Colombo","2","Laptop computer","Yes","3","ADSL","Yes","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","2","4","Yes","No difference","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Online exams","3","3","E-learning","5","3","3","2","3"
"2021/11/14 7:00:03 PM GMT+5:30","Sri Lanka Institute of Information Technology (SLIIT)","1","Laptop computer;Smart phone","No","3","ADSL","Yes","3","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","3","4","No","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","2","2","Traditional method","4","2","2","3","3"
"2021/11/14 7:01:12 PM GMT+5:30","University of Moratuwa","4","Laptop computer","Yes","5","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","4","5","E-learning","5","5","5","5","5"
"2021/11/14 7:02:54 PM GMT+5:30","Sabaragamuwa University","5","Laptop computer","Yes","4","ADSL","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Online lectures","No","No difference","Physically attending practical sessions","No difference","4","4","E-learning","4","4","3","4","2"
"2021/11/14 7:04:01 PM GMT+5:30","Wayamba University","1","Laptop computer;Smart phone","Yes","4","ADSL","No","3","Attend lectures (Zoom etc);Watch learning material/tutorials","3","4","Yes","No difference","Yes","No difference","No difference","No difference","3","3","Both are equally preferred","2","3","3","4","3"
"2021/11/14 7:05:21 PM GMT+5:30","University of Kelaniya","3","Desktop computer;Tablet","Yes","4","Dongle","No","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing","2","4","Yes","No difference","No","No difference","Physically attending practical sessions","No difference","3","3","E-learning","5","2","3","2","2"
"2021/11/14 7:07:32 PM GMT+5:30","Open University","2","Laptop computer;Desktop computer","No","3","Mobile data","No","2","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing","3","3","Yes","No difference","My university/course does not use a learning platform","No difference","Physically attending practical sessions","No difference","5","3","Both are equally preferred","4","3","3","3","2"
"2021/11/14 7:12:32 PM GMT+5:30","University of Jaffna","3","Laptop computer","Yes","2","Mobile data","No","2","Attend lectures (Zoom etc)","2","3","No","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","2","2","Traditional method","4","2","2","2","2"
"2021/11/14 7:24:11 PM GMT+5:30","Uva Wellassa University","4","Laptop computer","Yes","2","ADSL","Yes","4","Attend lectures (Zoom etc);Searching/Browsing","4","2","Yes","No difference","No","No difference","Physically attending practical sessions","No difference","3","3","E-learning","5","2","4","4","3"
"2021/11/14 7:25:45 PM GMT+5:30","University of Ruhuna","5","Laptop computer","Yes","4","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","5","1","Yes","Online lectures","No","No difference","Physically attending practical sessions","Online exams","5","5","E-learning","5","4","5","5","5"
"2021/11/14 7:27:32 PM GMT+5:30","University of Sri Jayewardenepura","1","Laptop computer;Desktop computer;Tablet","Yes","5","ADSL","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","3","3","E-learning","5","4","4","4","4"
"2021/11/14 7:48:16 PM GMT+5:30","Other","3","Laptop computer","Yes","4","Fibre Optics","Yes","5","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Online lectures","Yes","No difference","Physically attending practical sessions","Online exams","3","2","E-learning","4","4","4","4","4"
"2021/11/14 8:43:45 PM GMT+5:30","University of Moratuwa","4","Laptop computer","Yes","4","ADSL","No","3","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","4","3","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","Physically attending practical sessions","Physically attending exam","3","3","E-learning","4","4","3","4","4"
"2021/11/14 9:27:58 PM GMT+5:30","University of Moratuwa","3","Laptop computer","Yes","4","Mobile data","No","3","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","3","4","Yes","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","2","3","Traditional method","3","3","2","3","3"
"2021/11/14 9:29:56 PM GMT+5:30","University of Moratuwa","3","Laptop computer;Smart phone","Yes","3","ADSL","Yes","2","Attend lectures (Zoom etc);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","Physically attending","Yes","Physically attending lectures","Physically attending practical sessions","Physically attending exam","2","3","Traditional method","3","3","2","3","3"
"2021/11/14 9:45:42 PM GMT+5:30","University of Moratuwa","6 or higher","Laptop computer","Yes","4","ADSL","No","4","Watch learning material/tutorials","3","3","No","Physically attending","No","Physically attending lectures","Physically attending practical sessions","Physically attending exam","3","3","Traditional method","3","3","3","3","3"
"2021/11/14 9:51:39 PM GMT+5:30","Sri Lanka Institute of Information Technology (SLIIT)","2","Laptop computer;Smart phone","Yes","5","Mobile data","Yes","3","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing;Watch learning material/tutorials","3","3","Yes","No difference","Yes","No difference","Physically attending practical sessions","Physically attending exam","2","3","Both are equally preferred","4","5","2","4","3"
"2021/11/14 9:55:59 PM GMT+5:30","University of Peradeniya","4","Laptop computer;Smart phone;Desktop computer","Yes","5","Fibre Optics","Yes","4","Attend lectures (Zoom etc);File Downloads (Only related to studies);Searching/Browsing","5","1","Yes","Online lectures","No","E-learning (Online lectures and and online learning platform)","E-learning (Online practical sessions and and online learning platform)","Online exams","4","4","E-learning","3","5","4","5","4"